Etapa,N_Features,KS_Train,KS_Test,KS_OOT,Delta_KS
Score 1,1,27.229408843965885,25.824889893699982,26.428999181991937,26.428999181991937
Score 2,2,32.64464053379138,30.130320542935163,31.263315398896303,4.834316216904366
Telco,11,33.31298388474637,30.43041650787873,31.531251171545694,0.26793577264939117
Cadastro,19,33.78758665483784,30.491955017693446,31.5894445666283,0.05819339508260413
Recarga,30,37.76881981184658,32.83586989113458,34.05475127730321,2.4653067106749127
Pagamento,37,38.09987206568676,33.208507403917714,34.37083193200935,0.3160806547061412
Atraso,42,38.31497710309096,33.37896545354346,34.596160371115445,0.22532843910609301
