Etapa,N_Features,KS_Train,KS_Test,KS_OOT,Delta_KS
Score 1,1,27.21746010277687,25.858451763349183,26.42340580526167,26.42340580526167
Score 2,2,32.63581769170623,30.11125411126806,31.26545491111011,4.842049105848439
Telco,12,33.27642427466094,30.226537588922763,31.35376426231835,0.0883093512082418
Cadastro,20,34.288114739787254,30.459897271882653,31.660810247846282,0.3070459855279317
Recarga,31,37.94448748428737,32.9002887908737,34.05054809349282,2.3897378456465397
Pagamento,37,38.3561007039368,33.18749722730235,34.33228727697624,0.28173918348341687
Atraso,39,38.52279607051066,33.28084287089389,34.50307375737334,0.17078648039710487
