Etapa,N_Features,KS_Train,KS_Test,KS_OOT,Delta_KS
Score 1,1,27.229408843965885,25.824889893699982,26.428999181991937,26.428999181991937
Score 2,2,32.64464053379138,30.130320542935163,31.263315398896303,4.834316216904366
Telco,11,33.31298388474637,30.43041650787873,31.531251171545694,0.26793577264939117
Cadastro,23,34.201452821481475,30.625986434302412,31.81581770174679,0.2845665302010971
Recarga,34,37.891556117069506,32.94445761501236,34.118159044987586,2.302341343240794
Pagamento,41,38.25407518401036,33.33499241299956,34.40601342322531,0.287854378237725
Atraso,46,38.37215168540129,33.513525327786134,34.68110516237229,0.2750917391469798
