feature,vif,gini,iv,domain,pct_missing,status
pag_qtd_faturas_l90d,8.220974373467037,10.755407159094199,0.011185518336629821,pag_,0.0,Alto (5-10)
pag_qtd_faturas_l60d,7.9216563673715985,10.738819262641686,0.010754882372122203,pag_,0.0,Alto (5-10)
tel_var_31,6.784261240203576,16.90301043572795,0.09923039731560022,tel_,0.5034762139792703,Alto (5-10)
tel_var_50,6.741945286229661,11.357443748400954,0.04687398328763176,tel_,0.5034762139792703,Alto (5-10)
pag_flag_sem_pagamento_l60d,6.525120392988338,10.337807345166405,0.0,pag_,0.0,Alto (5-10)
pag_flag_sem_pagamento_l90d,4.977100460487744,10.067414330341663,0.0,pag_,0.0,Aceitável (<5)
pag_qtd_faturas_l30d,4.080180116140948,10.034417752915648,0.010131182424799722,pag_,0.0,Aceitável (<5)
pag_flag_sem_pagamento_l30d,3.614398042790126,10.129958508753667,0.0,pag_,0.0,Aceitável (<5)
pag_qtd_faturas_geral,3.134361535087655,10.724862104778987,0.06706455464296038,pag_,0.0,Aceitável (<5)
tel_var_28,3.074984369132253,13.3743642619502,0.06104892455903691,tel_,0.5034762139792703,Aceitável (<5)
bur_score_02,2.6347725505369533,43.071951379483366,0.6048401896284045,bur_,0.0007122517939177619,Aceitável (<5)
bur_score_01,2.1085957565197258,36.024833865112946,0.4161172279242482,bur_,0.006709442271916166,Aceitável (<5)
rec_qtd_canais_distintos,1.2107871724117956,9.806082748983158,0.035070321229404136,rec_,0.0,Aceitável (<5)
rec_dias_desde_primeira,1.1954783934613509,10.142359057734375,0.037804170101395855,rec_,0.2816986218155587,Aceitável (<5)
cad_var_05,1.1382240096995382,15.079428410691165,0.07211108610543326,cad_,0.035588291127225835,Aceitável (<5)
atr_vlr_acumulado_geral,1.0000726069361325,14.986697687830318,0.10787264224626976,atr_,0.6815027146057178,Aceitável (<5)
