etapa,fonte,features_adicionadas,n_features_acumuladas,ks_oot,ks_test,ks_train,gini_oot,gini_test,gini_train,delta_ks,delta_gini
Bureau,bur_,"bur_score_02, bur_score_01",2,31.709381379544755,30.641223551228453,33.232822101372285,42.4486761542062,40.81306690710416,44.466195263689336,31.709381379544755,42.4486761542062
+ Cadastral,cad_,cad_var_02,3,31.734324099265642,30.636508386594624,33.242050808799476,42.448290308920924,40.815325753961496,44.47130678322395,0.024942719720886686,-0.0003858452852725236
+ Telco,tel_,tel_var_28,4,31.728964657898555,30.619162908712056,33.242700623315805,42.45279380171964,40.85130693065926,44.47347959482184,-0.005359441367087214,0.004503492798718867
+ Recarga,rec_,"rec_vlr_avg_geral, rec_ratio_vlr_l30d_l60d, rec_dias_desde_ultima",7,32.55292047666673,31.369033701968004,34.055367311918744,43.328779778049494,41.73435824629901,45.39431426446243,0.823955818768173,0.8759859763298508
+ Pagamento,pag_,pag_dias_desde_ultimo_pagamento,8,32.639637390336894,31.358766011790756,34.08336016089897,43.361926120001556,41.736539703452415,45.42090285331517,0.0867169136701662,0.033146341952061675
+ Atraso,atr_,atr_vlr_acumulado_geral,9,32.70907522154089,31.355265129849098,34.07623922115436,43.36483670391762,41.69983237738624,45.430788021597614,0.06943783120399871,0.002910583916062137
