categoria,n,n_bad,bad_rate,prob_media,pct_total,pct_bad
Ambos Aprovam,245442,29329,0.11949462602162629,0.1105691614477748,0.5629455316103817,0.31328377021512954
Swap-In,17036,3102,0.1820849964780465,0.1938852657258035,0.039073752970210734,0.0331346535922579
Swap-Out,16329,4005,0.24526915304060262,0.24478958621848465,0.03745217846035285,0.042780234570274946
Ambos Rejeitam,157189,57182,0.36377863590963744,0.35768693157556497,0.3605285369590547,0.6108013416223376
