step,feature,woe_col,tipo,n_features,gini_train,gini_test,gini_oot,ks_train,ks_test,ks_oot,auc_train,auc_test,auc_oot,brier_train,brier_test,brier_oot,delta_ks_oot,delta_gini,degradacao
1,bur_score_02,bur_score_02_woe,CORE,1,43.58134629526309,39.63098695153546,41.372147273362,32.91606361218009,29.77123419147712,31.061635587281007,0.7179067314763155,0.6981549347576773,0.70686073636681,0.14975750236473606,0.1516328415288189,0.1526553040581096,31.061635587281007,39.63098695153546,-1.7411603218265412
2,rec_vlr_avg_geral,rec_vlr_avg_geral_woe,CORE,2,44.258773639572865,40.26753742920115,42.10339545259978,33.30730972508499,30.278534733773533,31.714072154283347,0.7212938681978643,0.7013376871460058,0.7105169772629989,0.14923171364699284,0.15121764509943966,0.15213919323751496,0.65243656700234,0.6365504776656863,-1.8358580233986288
3,bur_score_01,bur_score_01_woe,INVESTIGAR,3,44.936746825224596,41.25959920327571,42.95435775514027,33.65313394689113,30.985213223113984,32.285717540599464,0.724683734126123,0.7062979960163785,0.7147717887757014,0.1486010275444403,0.15036314288592742,0.1513275072815286,0.571645386316117,0.9920617740745641,-1.6947585518645596
4,rec_ratio_vlr_l30d_l60d,rec_ratio_vlr_l30d_l60d_woe,INVESTIGAR,4,45.1850501437566,41.45779506341496,43.154063711019866,33.86495413419843,31.165474458405917,32.384094535684724,0.725925250718783,0.7072889753170748,0.7157703185550993,0.1483726208682203,0.1502156610352829,0.15115694278073347,0.09837699508526043,0.1981958601392506,-1.696268647604903
5,rec_dias_desde_ultima,rec_dias_desde_ultima_woe,CORE,5,45.31724616282331,41.60300243599742,43.28683934335196,34.022885753114174,31.309149044494657,32.53421342283669,0.7265862308141166,0.7080150121799871,0.7164341967167598,0.1482507229877463,0.15008681288223732,0.15103078972381606,0.15011888715196875,0.14520737258245475,-1.6838369073545394
6,pag_dias_desde_ultimo_pagamento,pag_dias_desde_ultimo_pagamento_woe,CORE,6,45.33816650230165,41.60045716131175,43.313059173716,34.03931421797994,31.284347888340807,32.60879858875996,0.7266908325115082,0.7080022858065588,0.71656529586858,0.1482196512356102,0.15007425065018284,0.1510001937374826,0.07458516592326703,-0.002545274685665788,-1.712602012404247
7,tel_var_28,tel_var_28_woe,INVESTIGAR,7,45.41804175143223,41.73626793745897,43.362411292197464,34.077966469337554,31.350615609704253,32.63407173885307,0.7270902087571611,0.7086813396872949,0.7168120564609873,0.14811753201873445,0.14993223294578195,0.15093511669033535,0.025273150093113372,0.13581077614721693,-1.6261433547384954
8,atr_vlr_acumulado_geral,atr_vlr_acumulado_geral_woe,CORE,8,45.42741611249339,41.70063461904192,43.36536123935857,34.06774825791781,31.34903998107561,32.69059021422546,0.727137080562467,0.7085031730952096,0.7168268061967928,0.14807635232474137,0.14993889958970288,0.15091831985620707,0.056518475372385524,-0.03563331841704809,-1.6647266203166495
9,cad_var_02,cad_var_02_woe,CORE,9,45.430790429559885,41.69983226441851,43.36482030906523,34.07623922115436,31.355265129849098,32.70907522154089,0.7271539521477994,0.7084991613220926,0.7168241015453262,0.1480720305481837,0.14994017293475873,0.15091785500910657,0.018485007315433677,-0.0008023546234099399,-1.6649880446467193
