feature,woe_col,coef,abs_coef,tipo,iv
bur_score_02,bur_score_02_woe,-0.7955432408059896,0.7955432408059896,CORE,0.6399932873194568
rec_ratio_vlr_l30d_l60d,rec_ratio_vlr_l30d_l60d_woe,-0.6303351268357391,0.6303351268357391,INVESTIGAR,0.02320708314272514
rec_vlr_avg_geral,rec_vlr_avg_geral_woe,-0.41490317068777605,0.41490317068777605,CORE,0.07235952132145554
rec_dias_desde_ultima,rec_dias_desde_ultima_woe,-0.38819058230952175,0.38819058230952175,CORE,0.04013077305079627
bur_score_01,bur_score_01_woe,-0.3104775127807413,0.3104775127807413,INVESTIGAR,0.42784840083258374
tel_var_28,tel_var_28_woe,0.25111158595633515,0.25111158595633515,INVESTIGAR,0.05941739489951316
atr_vlr_acumulado_geral,atr_vlr_acumulado_geral_woe,-0.1463966223496325,0.1463966223496325,CORE,0.050695591721371884
cad_var_02,cad_var_02_woe,-0.08400393023932032,0.08400393023932032,CORE,0.006001986381561354
pag_dias_desde_ultimo_pagamento,pag_dias_desde_ultimo_pagamento_woe,-0.07108142531033314,0.07108142531033314,CORE,0.07625716899478405
